Submission,Date,Author,Status,Link
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - estmcmxci.eth,2026-09-22,"Mark ""Marcus"" Martinez",active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/estmcmxcieth-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Unregistry,2026-09-22,Ageesen Sri,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/unregistry-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Intellectual Property Constituency,2026-09-22,Margaret Milam,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/intellectual-property-constituency-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Netnod,2026-09-22,Ulf Fredrik Karl Lindeberg,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/netnod-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Security and Stability Advisory Committee (SSAC),2026-09-22,SSAC Staff,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/security-and-stability-advisory-committee-ssac-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - ENS Foundation,2026-09-22,Alexander Urbelis,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/ens-foundation-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Policy staff in support of the At-Large Community At-Large Advisory Committee (ALAC),2026-09-22,At-Large Advisory Committee (ALAC) Policy staff in support of the At-Large Community,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/policy-staff-in-support-of-the-at-large-community-at-large-advisory-committee-alac-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Avbenagha Onovughakpo Oghenebrorie,2026-09-22,Onovughakpo Oghenebrorie Avbenagha,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/avbenagha-onovughakpo-oghenebrorie-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - CleanDNS Inc.,2026-09-22,Alan Woods,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/cleandns-inc-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - (RySG) Registries Stakeholder Group,2026-09-22,Registries Stakeholder Group (RySG),active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/rysg-registries-stakeholder-group-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - WIPO Arbitration and Mediation Center,2026-09-22,Brian Beckham,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/wipo-arbitration-and-mediation-center-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Ministry of Electronics and Information Technology Government of India,2026-09-21,Dheeraj Dheeraj,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/ministry-of-electronics-and-information-technology-government-of-india-21-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - .ART Domain Registry,2026-09-21,Kurt Pritz,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/art-domain-registry-20-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Edwards Mark,2026-09-19,Mark Edwards,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/edwards-mark-19-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Bora,2026-09-19,Boris Koren,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/bora-19-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Tucows Domains,2026-09-19,Sarah Wyld,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/tucows-domains-18-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Registrar Stakeholder Group (RrSG),2026-09-18,Zoe Bonython,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/registrar-stakeholder-group-rrsg-18-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission Retracted - Liu Samuel,2026-09-18,Samuel Liu,retracted,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/liu-samuel-17-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Rand Chris,2026-09-17,Chris Rand,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/rand-chris-17-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - D3 Global Inc.,2026-09-17,Kevin Kreuser,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/d3-global-inc-16-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Manoratana Tiranest,2026-09-16,Tiranest Manoratana,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/manoratana-tiranest-16-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - The Internet Service Providers and Connectivity Providers Constituency (ISPCP),2026-09-16,Philippe Fouquart,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/the-internet-service-providers-and-connectivity-providers-constituency-ispcp-15-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Geurts Theo,2026-09-15,Theo Geurts,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/geurts-theo-15-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Poyhonen Johan,2026-09-14,Johan Poyhonen,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/poyhonen-johan-14-09-2026
